"Common.Name","Code","Group","spp.num","name","in_bbs_aou","in_bbs_name","in_bbs","bbs_english","order","family","genus","species"
"Great Blue Heron","GBHE","waterbirds",1940,"Great Blue Heron",TRUE,TRUE,TRUE,"Great Blue Heron","Pelecaniformes","Ardeidae","Ardea","herodias"
"Great Cormorant","GRCO","coastal",1190,"Great Cormorant",TRUE,TRUE,TRUE,"Great Cormorant","Suliformes","Phalacrocoracidae","Phalacrocorax","carbo"
"Great Crested Flycatcher","GCFL","eastern_forests",4520,"Great Crested Flycatcher",TRUE,TRUE,TRUE,"Great Crested Flycatcher","Passeriformes","Tyrannidae","Myiarchus","crinitus"
"Great Egret","GREG","waterbirds",1960,"Great Egret",TRUE,TRUE,TRUE,"Great Egret","Pelecaniformes","Ardeidae","Ardea","alba"
"Great Gray Owl","GGOW","boreal_forests",3700,"Great Gray Owl",TRUE,TRUE,TRUE,"Great Gray Owl","Strigiformes","Strigidae","Strix","nebulosa"
"Great Horned Owl","GHOW","generalists",3750,"Great Horned Owl",TRUE,TRUE,TRUE,"Great Horned Owl","Strigiformes","Strigidae","Bubo","virginianus"
"Great Kiskadee","GKIS","subtropical_forests",4490,"Great Kiskadee",TRUE,TRUE,TRUE,"Great Kiskadee","Passeriformes","Tyrannidae","Pitangus","sulphuratus"
"Greater Prairie-Chicken","GRPC","grasslands",NA,NA,FALSE,TRUE,TRUE,"Greater Prairie-Chicken","Galliformes","Phasianidae","Tympanuchus","cupido"
"Greater Roadrunner","GRRO","aridlands",3850,"Greater Roadrunner",TRUE,TRUE,TRUE,"Greater Roadrunner","Cuculiformes","Cuculidae","Geococcyx","californianus"
"Greater Sage-Grouse","GRSG","aridlands",NA,NA,FALSE,TRUE,TRUE,"Greater Sage-Grouse","Galliformes","Phasianidae","Centrocercus","urophasianus"
"Greater Scaup","GRSC","waterbirds",1480,"Greater Scaup",TRUE,TRUE,TRUE,"Greater Scaup","Anseriformes","Anatidae","Aythya","marila"
"Greater White-fronted Goose","GWFG","waterbirds",1710,"Greater White-fronted Goose",TRUE,TRUE,TRUE,"Greater White-fronted Goose","Anseriformes","Anatidae","Anser","albifrons"
"Greater Yellowlegs","GRYE","waterbirds",2540,"Greater Yellowlegs",TRUE,TRUE,TRUE,"Greater Yellowlegs","Charadriiformes","Scolopacidae","Tringa","melanoleuca"
"Great-tailed Grackle","GTGR","generalists",5120,"Great-tailed Grackle",TRUE,TRUE,TRUE,"Great-tailed Grackle","Passeriformes","Icteridae","Quiscalus","mexicanus"
